,id,job_title,connection,location,fit,scores
1,69,"Director of Human Resources North America, Groupe Beneteau",500.0,"Greater Grand Rapids, Michigan Area",1.0,0.6
2,104,Director Of Administration at Excellence Logging,500.0,"Katy, Texas",0.0,0.6
0,100,Aspiring Human Resources Manager | Graduating May 2020 | Seeking an Entry-Level Human Resources Position in St. Louis,103.0,"Cape Girardeau, Missouri",1.0,0.6
3,73,"Aspiring Human Resources Manager, seeking internship in Human Resources.",7.0,"Houston, Texas Area",1.0,0.6
7,27,Aspiring Human Resources Management student seeking an internship,500.0,"Houston, Texas Area",0.0,0.5
8,85,RRP Brand Portfolio Executive at JTI (Japan Tobacco International),500.0,Greater Philadelphia Area,0.0,0.5
5,89,Director Human Resources  at EY,349.0,Greater Atlanta Area,1.0,0.5
4,90,Undergraduate Research Assistant at Styczynski Lab,155.0,Greater Atlanta Area,0.0,0.5
9,96,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint",19.0,"Lafayette, Indiana",0.0,0.5
6,72,Business Management Major and Aspiring Human Resources Manager,5.0,"Monroe, Louisiana Area",0.0,0.5
12,81,Senior Human Resources Business Partner at Heil Environmental,455.0,"Chattanooga, Tennessee Area",0.0,0.4
16,77,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation",409.0,Dallas/Fort Worth Area,0.0,0.4
13,83,HR Manager at Endemol Shine North America,268.0,"Los Angeles, California",0.0,0.4
14,70,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources.",82.0,"Virginia Beach, Virginia",0.0,0.4
11,66,Experienced Retail Manager and aspiring Human Resources Professional,57.0,"Austin, Texas Area",0.0,0.4
15,99,Seeking Human Resources Position,48.0,"Las Vegas, Nevada Area",0.0,0.4
10,88,Human Resources Management Major,18.0,"Milpitas, California",0.0,0.4
20,10,Seeking Human Resources HRIS and Generalist Positions,500.0,Greater Philadelphia Area,0.0,0.3
23,4,People Development Coordinator at Ryan,500.0,"Denton, Texas",0.0,0.3
25,78,Human Resources Generalist at Schwan's,500.0,Amerika Birleşik Devletleri,0.0,0.3
26,12,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR",500.0,"Houston, Texas Area",0.0,0.3
27,8,HR Senior Specialist,500.0,San Francisco Bay Area,0.0,0.3
29,68,Human Resources Specialist at Luxottica,500.0,Greater New York City Area,0.0,0.3
22,94,Seeking Human  Resources Opportunities. Open to travel and relocation.,415.0,Amerika Birleşik Devletleri,0.0,0.3
17,76,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment,212.0,"New York, New York",0.0,0.3
28,1,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,85.0,"Houston, Texas",0.0,0.3
21,92,Seeking employment opportunities within Customer Service or Patient Care,64.0,"Torrance, California",0.0,0.3
19,87,Bachelor of Science in Biology from Victoria University of Wellington,40.0,"Baltimore, Maryland",0.0,0.3
30,91,Lead Official at Western Illinois University,39.0,Greater Chicago Area,0.0,0.3
18,79,Liberal Arts Major. Aspiring Human Resources Analyst.,7.0,"Baton Rouge, Louisiana Area",0.0,0.3
31,86,Information Systems Specialist and Programmer with a love for data and organization.,4.0,"Gaithersburg, Maryland",0.0,0.3
24,6,Aspiring Human Resources Specialist,1.0,Greater New York City Area,0.0,0.3
33,13,Human Resources Coordinator at InterContinental Buckhead Atlanta,500.0,"Atlanta, Georgia",0.0,0.2
34,2,Native English Teacher at EPIK (English Program in Korea),500.0,Kanada,0.0,0.2
36,103,Always set them up for Success,500.0,Greater Los Angeles Area,0.0,0.2
42,5,Advisory Board Member at Celal Bayar University,500.0,"İzmir, Türkiye",0.0,0.2
46,71,"Human Resources Generalist at ScottMadden, Inc.",500.0,"Raleigh-Durham, North Carolina Area",0.0,0.2
47,101,Human Resources Generalist at Loparex,500.0,"Raleigh-Durham, North Carolina Area",0.0,0.2
48,75,"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621",500.0,"San Jose, California",0.0,0.2
50,67,"Human Resources, Staffing and Recruiting Professional",500.0,"Jackson, Mississippi Area",0.0,0.2
37,28,Seeking Human Resources Opportunities,390.0,"Chicago, Illinois",0.0,0.2
32,82,Aspiring Human Resources Professional | An energetic and Team-Focused Leader,174.0,"Austin, Texas Area",0.0,0.2
45,97,Aspiring Human Resources Professional,71.0,"Kokomo, Indiana Area",0.0,0.2
38,7,Student at Humber College and Aspiring Human Resources Generalist,61.0,Kanada,0.0,0.2
41,80,Junior MES Engineer| Information Systems,52.0,"Myrtle Beach, South Carolina Area",0.0,0.2
35,84,Human Resources professional for the world leader in GIS software,50.0,"Highland, California",0.0,0.2
43,102,Business Intelligence and Analytics at Travelers,49.0,Greater New York City Area,0.0,0.2
39,3,Aspiring Human Resources Professional,44.0,"Raleigh-Durham, North Carolina Area",0.0,0.2
44,74,Human Resources Professional,16.0,Greater Boston Area,0.0,0.2
40,93,Admissions Representative at Community medical center long beach,9.0,"Long Beach, California",0.0,0.2
49,98,Student,4.0,"Houston, Texas Area",0.0,0.2
51,95,Student at Westfield State University,57.0,"Bridgewater, Massachusetts",0.0,0.1
52,11,Student at Chapman University,2.0,"Lake Forest, California",0.0,0.1
